202,2014,30,-3.961,-3.27,-4.753,-3.882,83,0.493,0.912,1.966,58.77,78.7,140.8,421,1.528,0,7.03,5.351,5.187,119.3,14.16,170.4,9.7782,0
202,2014,31,-3.029,-2.402,-3.694,-2.91,88.3,0.499,0.953,1.98,21.92,33.4,43.19,417,0.555,-0.558,6.964,5.447,5.19,139.9,17.57,181.3,9.7781,0
202,2014,32,-3.862,-2.407,-4.41,-3.649,96.3,0.497,0.941,2.057,27.31,36.14,50.87,360,0.621,-2.23,6.012,3.641,3.387,143.5,21.42,73,9.7781,0
202,2014,33,0.266,1.26,-2.513,0.162,111.2,0.476,0.924,2.027,27.3,22.05,44.96,391,0.661,2.788,6.53,3.665,3.55,158.6,14.32,72.9,9.7782,1.206
202,2014,34,1.521,19.59,-9.84,1.727,115.7,0.488,0.922,2.081,34.9,20.15,89.3,436,0.933,5.017,7.28,3.092,2.924,173.5,18.92,43.05,9.7836,10.25
202,2014,35,1.719,2.898,1.383,2.13,128.5,0.525,0.96,2.136,42.16,22.13,100.8,432,1.16,0.557,7.21,3.078,2.816,225.9,23.64,38.49,9.7923,1.005
202,2014,36,0.851,2.639,-0.837,1.122,116.3,0.571,0.989,2.174,21.23,15.33,44.66,425,0.56,0,7.1,3.036,2.733,151.6,25.59,40.22,9.7949,0.201
202,2014,37,0.881,2.117,0.559,1.261,94.5,0.595,0.954,2.161,37.37,42.5,73.3,399,0.923,0,6.663,1.84,1.667,155.8,24.84,9.83,9.7899,0
202,2014,38,0.842,2.275,0.574,1.248,98.3,0.619,0.97,2.237,24.11,28.27,47.91,414,0.619,-0.557,6.914,1.655,0.951,143.8,52.73,6.572,9.7861,0
202,2014,39,2.013,9.76,-0.674,2.238,105.8,0.65,0.978,2.24,46.35,35.05,109.1,461,1.301,2.787,7.7,3.724,3.575,157.9,16.23,116.1,9.7963,4.422
202,2014,40,2.943,4.335,1.352,3.198,108.4,0.715,0.987,2.258,32.94,23.63,92.3,458,0.939,-0.557,7.65,4.457,3.724,207.4,32.84,113.3,9.8128,0.402
