['Malma Island Daily', 'mean_water_temp_15_m', datetime.datetime(2013, 12, 31, 23, 0, tzinfo=<UTC>), 2.079]
['Malma Island Daily', 'mean_water_temp_15_m', datetime.datetime(2014, 1, 1, 23, 0, tzinfo=<UTC>), 2.006]
['Malma Island Daily', 'mean_water_temp_15_m', datetime.datetime(2014, 1, 2, 23, 0, tzinfo=<UTC>), 1.993]
['Malma Island Daily', 'mean_water_temp_15_m', datetime.datetime(2014, 1, 3, 23, 0, tzinfo=<UTC>), 2.02]
['Malma Island Daily', 'mean_water_temp_15_m', datetime.datetime(2014, 1, 4, 23, 0, tzinfo=<UTC>), 2.09]
['Malma Island Daily', 'mean_water_temp_15_m', datetime.datetime(2014, 1, 5, 23, 0, tzinfo=<UTC>), 2.132]
['Malma Island Daily', 'mean_water_temp_15_m', datetime.datetime(2014, 1, 6, 23, 0, tzinfo=<UTC>), 2.157]
['Malma Island Daily', 'mean_water_temp_15_m', datetime.datetime(2014, 1, 7, 23, 0, tzinfo=<UTC>), 2.196]
['Malma Island Daily', 'mean_water_temp_15_m', datetime.datetime(2014, 1, 8, 23, 0, tzinfo=<UTC>), 2.277]
['Malma Island Daily', 'mean_water_temp_15_m', datetime.datetime(2014, 1, 9, 23, 0, tzinfo=<UTC>), 2.325]
['Malma Island Daily', 'mean_water_temp_15_m', datetime.datetime(2014, 1, 10, 23, 0, tzinfo=<UTC>), 2.323]
['Malma Island Daily', 'mean_water_temp_15_m', datetime.datetime(2014, 1, 11, 23, 0, tzinfo=<UTC>), 2.107]
['Malma Island Daily', 'mean_water_temp_15_m', datetime.datetime(2014, 1, 12, 23, 0, tzinfo=<UTC>), 1.755]
['Malma Island Daily', 'mean_water_temp_15_m', datetime.datetime(2014, 1, 13, 23, 0, tzinfo=<UTC>), 1.39]
['Malma Island Daily', 'mean_water_temp_15_m', datetime.datetime(2014, 1, 14, 23, 0, tzinfo=<UTC>), 1.417]
['Malma Island Daily', 'mean_water_temp_15_m', datetime.datetime(2014, 1, 15, 23, 0, tzinfo=<UTC>), 1.423]
['Malma Island Daily', 'mean_water_temp_15_m', datetime.datetime(2014, 1, 16, 23, 0, tzinfo=<UTC>), 1.424]
['Malma Island Daily', 'mean_water_temp_15_m', datetime.datetime(2014, 1, 17, 23, 0, tzinfo=<UTC>), 1.42]
['Malma Island Daily', 'mean_water_temp_15_m', datetime.datetime(2014, 1, 18, 23, 0, tzinfo=<UTC>), 1.495]
['Malma Island Daily', 'mean_water_temp_15_m', datetime.datetime(2014, 1, 19, 23, 0, tzinfo=<UTC>), 1.56]
['Malma Island Daily', 'mean_water_temp_15_m', datetime.datetime(2014, 1, 20, 23, 0, tzinfo=<UTC>), 1.543]
['Malma Island Daily', 'mean_water_temp_15_m', datetime.datetime(2014, 1, 21, 23, 0, tzinfo=<UTC>), 1.588]
['Malma Island Daily', 'mean_water_temp_15_m', datetime.datetime(2014, 1, 22, 23, 0, tzinfo=<UTC>), 1.665]
['Malma Island Daily', 'mean_water_temp_15_m', datetime.datetime(2014, 1, 23, 23, 0, tzinfo=<UTC>), 1.75]
['Malma Island Daily', 'mean_water_temp_15_m', datetime.datetime(2014, 1, 24, 23, 0, tzinfo=<UTC>), 1.81]
['Malma Island Daily', 'mean_water_temp_15_m', datetime.datetime(2014, 1, 25, 23, 0, tzinfo=<UTC>), 1.772]
['Malma Island Daily', 'mean_water_temp_15_m', datetime.datetime(2014, 1, 26, 23, 0, tzinfo=<UTC>), 1.803]
['Malma Island Daily', 'mean_water_temp_15_m', datetime.datetime(2014, 1, 27, 23, 0, tzinfo=<UTC>), 1.862]
['Malma Island Daily', 'mean_water_temp_15_m', datetime.datetime(2014, 1, 28, 23, 0, tzinfo=<UTC>), 1.945]
['Malma Island Daily', 'mean_water_temp_15_m', datetime.datetime(2014, 1, 29, 23, 0, tzinfo=<UTC>), 1.966]
['Malma Island Daily', 'mean_water_temp_15_m', datetime.datetime(2014, 1, 30, 23, 0, tzinfo=<UTC>), 1.98]
['Malma Island Daily', 'mean_water_temp_15_m', datetime.datetime(2014, 1, 31, 23, 0, tzinfo=<UTC>), 2.057]
['Malma Island Daily', 'mean_water_temp_15_m', datetime.datetime(2014, 2, 1, 23, 0, tzinfo=<UTC>), 2.027]
['Malma Island Daily', 'mean_water_temp_15_m', datetime.datetime(2014, 2, 2, 23, 0, tzinfo=<UTC>), 2.081]
['Malma Island Daily', 'mean_water_temp_15_m', datetime.datetime(2014, 2, 3, 23, 0, tzinfo=<UTC>), 2.136]
['Malma Island Daily', 'mean_water_temp_15_m', datetime.datetime(2014, 2, 4, 23, 0, tzinfo=<UTC>), 2.174]
['Malma Island Daily', 'mean_water_temp_15_m', datetime.datetime(2014, 2, 5, 23, 0, tzinfo=<UTC>), 2.161]
['Malma Island Daily', 'mean_water_temp_15_m', datetime.datetime(2014, 2, 6, 23, 0, tzinfo=<UTC>), 2.237]
['Malma Island Daily', 'mean_water_temp_15_m', datetime.datetime(2014, 2, 7, 23, 0, tzinfo=<UTC>), 2.24]
['Malma Island Daily', 'mean_water_temp_15_m', datetime.datetime(2014, 2, 8, 23, 0, tzinfo=<UTC>), 2.258]
