['Malma Island Daily', 'mean_water_temp_3_m', datetime.datetime(2013, 12, 31, 23, 0, tzinfo=<UTC>), 1.967]
['Malma Island Daily', 'mean_water_temp_3_m', datetime.datetime(2014, 1, 1, 23, 0, tzinfo=<UTC>), 1.89]
['Malma Island Daily', 'mean_water_temp_3_m', datetime.datetime(2014, 1, 2, 23, 0, tzinfo=<UTC>), 1.924]
['Malma Island Daily', 'mean_water_temp_3_m', datetime.datetime(2014, 1, 3, 23, 0, tzinfo=<UTC>), 1.957]
['Malma Island Daily', 'mean_water_temp_3_m', datetime.datetime(2014, 1, 4, 23, 0, tzinfo=<UTC>), 2.038]
['Malma Island Daily', 'mean_water_temp_3_m', datetime.datetime(2014, 1, 5, 23, 0, tzinfo=<UTC>), 2.037]
['Malma Island Daily', 'mean_water_temp_3_m', datetime.datetime(2014, 1, 6, 23, 0, tzinfo=<UTC>), 2.089]
['Malma Island Daily', 'mean_water_temp_3_m', datetime.datetime(2014, 1, 7, 23, 0, tzinfo=<UTC>), 2.163]
['Malma Island Daily', 'mean_water_temp_3_m', datetime.datetime(2014, 1, 8, 23, 0, tzinfo=<UTC>), 2.225]
['Malma Island Daily', 'mean_water_temp_3_m', datetime.datetime(2014, 1, 9, 23, 0, tzinfo=<UTC>), 2.258]
['Malma Island Daily', 'mean_water_temp_3_m', datetime.datetime(2014, 1, 10, 23, 0, tzinfo=<UTC>), 2.215]
['Malma Island Daily', 'mean_water_temp_3_m', datetime.datetime(2014, 1, 11, 23, 0, tzinfo=<UTC>), 1.984]
['Malma Island Daily', 'mean_water_temp_3_m', datetime.datetime(2014, 1, 12, 23, 0, tzinfo=<UTC>), 1.584]
['Malma Island Daily', 'mean_water_temp_3_m', datetime.datetime(2014, 1, 13, 23, 0, tzinfo=<UTC>), 1.039]
['Malma Island Daily', 'mean_water_temp_3_m', datetime.datetime(2014, 1, 14, 23, 0, tzinfo=<UTC>), 1.079]
['Malma Island Daily', 'mean_water_temp_3_m', datetime.datetime(2014, 1, 15, 23, 0, tzinfo=<UTC>), 1.03]
['Malma Island Daily', 'mean_water_temp_3_m', datetime.datetime(2014, 1, 16, 23, 0, tzinfo=<UTC>), 1.016]
['Malma Island Daily', 'mean_water_temp_3_m', datetime.datetime(2014, 1, 17, 23, 0, tzinfo=<UTC>), 0.963]
['Malma Island Daily', 'mean_water_temp_3_m', datetime.datetime(2014, 1, 18, 23, 0, tzinfo=<UTC>), 0.911]
['Malma Island Daily', 'mean_water_temp_3_m', datetime.datetime(2014, 1, 19, 23, 0, tzinfo=<UTC>), 0.974]
['Malma Island Daily', 'mean_water_temp_3_m', datetime.datetime(2014, 1, 20, 23, 0, tzinfo=<UTC>), 0.902]
['Malma Island Daily', 'mean_water_temp_3_m', datetime.datetime(2014, 1, 21, 23, 0, tzinfo=<UTC>), 0.874]
['Malma Island Daily', 'mean_water_temp_3_m', datetime.datetime(2014, 1, 22, 23, 0, tzinfo=<UTC>), 0.844]
['Malma Island Daily', 'mean_water_temp_3_m', datetime.datetime(2014, 1, 23, 23, 0, tzinfo=<UTC>), 0.853]
['Malma Island Daily', 'mean_water_temp_3_m', datetime.datetime(2014, 1, 24, 23, 0, tzinfo=<UTC>), 0.867]
['Malma Island Daily', 'mean_water_temp_3_m', datetime.datetime(2014, 1, 25, 23, 0, tzinfo=<UTC>), 0.824]
['Malma Island Daily', 'mean_water_temp_3_m', datetime.datetime(2014, 1, 26, 23, 0, tzinfo=<UTC>), 0.849]
['Malma Island Daily', 'mean_water_temp_3_m', datetime.datetime(2014, 1, 27, 23, 0, tzinfo=<UTC>), 0.854]
['Malma Island Daily', 'mean_water_temp_3_m', datetime.datetime(2014, 1, 28, 23, 0, tzinfo=<UTC>), 0.895]
['Malma Island Daily', 'mean_water_temp_3_m', datetime.datetime(2014, 1, 29, 23, 0, tzinfo=<UTC>), 0.912]
['Malma Island Daily', 'mean_water_temp_3_m', datetime.datetime(2014, 1, 30, 23, 0, tzinfo=<UTC>), 0.953]
['Malma Island Daily', 'mean_water_temp_3_m', datetime.datetime(2014, 1, 31, 23, 0, tzinfo=<UTC>), 0.941]
['Malma Island Daily', 'mean_water_temp_3_m', datetime.datetime(2014, 2, 1, 23, 0, tzinfo=<UTC>), 0.924]
['Malma Island Daily', 'mean_water_temp_3_m', datetime.datetime(2014, 2, 2, 23, 0, tzinfo=<UTC>), 0.922]
['Malma Island Daily', 'mean_water_temp_3_m', datetime.datetime(2014, 2, 3, 23, 0, tzinfo=<UTC>), 0.96]
['Malma Island Daily', 'mean_water_temp_3_m', datetime.datetime(2014, 2, 4, 23, 0, tzinfo=<UTC>), 0.989]
['Malma Island Daily', 'mean_water_temp_3_m', datetime.datetime(2014, 2, 5, 23, 0, tzinfo=<UTC>), 0.954]
['Malma Island Daily', 'mean_water_temp_3_m', datetime.datetime(2014, 2, 6, 23, 0, tzinfo=<UTC>), 0.97]
['Malma Island Daily', 'mean_water_temp_3_m', datetime.datetime(2014, 2, 7, 23, 0, tzinfo=<UTC>), 0.978]
['Malma Island Daily', 'mean_water_temp_3_m', datetime.datetime(2014, 2, 8, 23, 0, tzinfo=<UTC>), 0.987]
